x	y	u(x,y)
0.00000	0.00000	1.00000000
0.00000	0.00392	0.99609381
0.00000	0.00784	0.99221838
0.00000	0.01176	0.98837370
0.00000	0.01569	0.98455977
0.00000	0.01961	0.98077661
0.00000	0.02353	0.97702420
0.00000	0.02745	0.97330260
0.00000	0.03137	0.96961170
0.00000	0.03529	0.96595156
0.00000	0.03922	0.96232218
0.00000	0.04314	0.95872355
0.00000	0.04706	0.95515573
0.00000	0.05098	0.95161861
0.00000	0.05490	0.94811225
0.00000	0.05882	0.94463670
0.00000	0.06275	0.94119185
0.00000	0.06667	0.93777776
0.00000	0.07059	0.93439448
0.00000	0.07451	0.93104190
0.00000	0.07843	0.92772013
0.00000	0.08235	0.92442906
0.00000	0.08627	0.92116880
0.00000	0.09020	0.91793925
0.00000	0.09412	0.91474050
0.00000	0.09804	0.91157246
0.00000	0.10196	0.90843523
0.00000	0.10588	0.90532875
0.00000	0.10980	0.90225297
0.00000	0.11373	0.89920801
0.00000	0.11765	0.89619374
0.00000	0.12157	0.89321029
0.00000	0.12549	0.89025760
0.00000	0.12941	0.88733566
0.00000	0.13333	0.88444442
0.00000	0.13725	0.88158399
0.00000	0.14118	0.87875432
0.00000	0.14510	0.87595540
0.00000	0.14902	0.87318724
0.00000	0.15294	0.87044984
0.00000	0.15686	0.86774313
0.00000	0.16078	0.86506724
0.00000	0.16471	0.86242211
0.00000	0.16863	0.85980773
0.00000	0.17255	0.85722411
0.00000	0.17647	0.85467124
0.00000	0.18039	0.85214919
0.00000	0.18431	0.84965783
0.00000	0.18824	0.84719723
0.00000	0.19216	0.84476739
0.00000	0.19608	0.84236830
0.00000	0.20000	0.84000003
0.00000	0.20392	0.83766246
0.00000	0.20784	0.83535564
0.00000	0.21176	0.83307958
0.00000	0.21569	0.83083427
0.00000	0.21961	0.82861978
0.00000	0.22353	0.82643598
0.00000	0.22745	0.82428300
0.00000	0.23137	0.82216072
0.00000	0.23529	0.82006919
0.00000	0.23922	0.81800842
0.00000	0.24314	0.81597847
0.00000	0.24706	0.81397927
0.00000	0.25098	0.81201077
0.00000	0.25490	0.81007302
0.00000	0.25882	0.80816609
0.00000	0.26275	0.80628991
0.00000	0.26667	0.80444443
0.00000	0.27059	0.80262977
0.00000	0.27451	0.80084586
0.00000	0.27843	0.79909265
0.00000	0.28235	0.79737025
0.00000	0.28627	0.79567862
0.00000	0.29020	0.79401767
0.00000	0.29412	0.79238755
0.00000	0.29804	0.79078817
0.00000	0.30196	0.78921950
0.00000	0.30588	0.78768164
0.00000	0.30980	0.78617454
0.00000	0.31373	0.78469819
0.00000	0.31765	0.78325260
0.00000	0.32157	0.78183776
0.00000	0.32549	0.78045368
0.00000	0.32941	0.77910036
0.00000	0.33333	0.77777779
0.00000	0.33725	0.77648598
0.00000	0.34118	0.77522492
0.00000	0.34510	0.77399462
0.00000	0.34902	0.77279508
0.00000	0.35294	0.77162629
0.00000	0.35686	0.77048826
0.00000	0.36078	0.76938099
0.00000	0.36471	0.76830447
0.00000	0.36863	0.76725876
0.00000	0.37255	0.76624376
0.00000	0.37647	0.76525950
0.00000	0.38039	0.76430607
0.00000	0.38431	0.76338333
0.00000	0.38824	0.76249135
0.00000	0.39216	0.76163018
0.00000	0.39608	0.76079971
0.00000	0.40000	0.75999999
0.00000	0.40392	0.75923109
0.00000	0.40784	0.75849289
0.00000	0.41176	0.75778544
0.00000	0.41569	0.75710881
0.00000	0.41961	0.75646293
0.00000	0.42353	0.75584775
0.00000	0.42745	0.75526333
0.00000	0.43137	0.75470972
0.00000	0.43529	0.75418687
0.00000	0.43922	0.75369471
0.00000	0.44314	0.75323337
0.00000	0.44706	0.75280279
0.00000	0.45098	0.75240290
0.00000	0.45490	0.75203383
0.00000	0.45882	0.75169551
0.00000	0.46275	0.75138795
0.00000	0.46667	0.75111109
0.00000	0.47059	0.75086504
0.00000	0.47451	0.75064975
0.00000	0.47843	0.75046521
0.00000	0.48235	0.75031143
0.00000	0.48627	0.75018841
